Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     4002     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_base(unsigned long, std::allocator<float> const&)
  0.00      0.00     0.00     4002     0.00     0.00  std::allocator_traits<std::allocator<float> >::select_on_container_copy_construction(std::allocator<float> const&)
  0.00      0.00     0.00     4002     0.00     0.00  float* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*)
  0.00      0.00     0.00     4002     0.00     0.00  std::vector<float, std::allocator<float> >::vector(std::vector<float, std::allocator<float> > const&)
  0.00      0.00     0.00     4002     0.00     0.00  float* std::__copy_move_a<false, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*)
  0.00      0.00     0.00     4002     0.00     0.00  float* std::uninitialized_copy<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*)
  0.00      0.00     0.00     4002     0.00     0.00  float* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*, float>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*, std::allocator<float>&)
  0.00      0.00     0.00     4002     0.00     0.00  float* std::copy<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*)
  0.00      0.00     0.00     4000     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::operator*() const
  0.00      0.00     0.00     4000     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::operator-(long) const
  0.00      0.00     0.00     4000     0.00     0.00  void std::__new_allocator<float>::construct<float, float>(float*, float&&)
  0.00      0.00     0.00     4000     0.00     0.00  void std::allocator_traits<std::allocator<float> >::construct<float, float>(std::allocator<float>&, float*, float&&)
  0.00      0.00     0.00     4000     0.00     0.00  float& std::vector<float, std::allocator<float> >::emplace_back<float>(float&&)
  0.00      0.00     0.00     4000     0.00     0.00  std::vector<float, std::allocator<float> >::back()
  0.00      0.00     0.00     4000     0.00     0.00  std::vector<float, std::allocator<float> >::push_back(float&&)
  0.00      0.00     0.00     4000     0.00     0.00  std::exp(float)
  0.00      0.00     0.00     4000     0.00     0.00  std::remove_reference<float&>::type&& std::move<float&>(float&)
  0.00      0.00     0.00     3036     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00     3011     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.00     0.00     3003     0.00     0.00  std::allocator<std::vector<float, std::allocator<float> > >::~allocator()
  0.00      0.00     0.00     3003     0.00     0.00  std::_Vector_base<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > >::_M_get_Tp_allocator()
  0.00      0.00     0.00     3003     0.00     0.00  std::__new_allocator<std::vector<float, std::allocator<float> > >::~__new_allocator()
  0.00      0.00     0.00     2022     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.00     0.00     2013     0.00     0.00  std::__new_allocator<float>::max_size() const
  0.00      0.00     0.00     2013     0.00     0.00  std::allocator_traits<std::allocator<float> >::max_size(std::allocator<float> const&)
  0.00      0.00     0.00     2013     0.00     0.00  std::vector<float, std::allocator<float> >::_S_max_size(std::allocator<float> const&)
  0.00      0.00     0.00     2006     0.00     0.00  std::allocator<float>::allocator()
  0.00      0.00     0.00     2006     0.00     0.00  std::__new_allocator<float>::__new_allocator()
  0.00      0.00     0.00     2005     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_base(std::allocator<float> const&)
  0.00      0.00     0.00     2005     0.00     0.00  float* std::__uninitialized_copy<true>::__uninit_copy<float const*, float*>(float const*, float const*, float*)
  0.00      0.00     0.00     2005     0.00     0.00  std::vector<float, std::allocator<float> >::_S_check_init_len(unsigned long, std::allocator<float> const&)
  0.00      0.00     0.00     2005     0.00     0.00  void std::vector<float, std::allocator<float> >::_M_range_initialize<float const*>(float const*, float const*, std::forward_iterator_tag)
  0.00      0.00     0.00     2005     0.00     0.00  std::vector<float, std::allocator<float> >::vector(std::initializer_list<float>, std::allocator<float> const&)
  0.00      0.00     0.00     2005     0.00     0.00  float* std::uninitialized_copy<float const*, float*>(float const*, float const*, float*)
  0.00      0.00     0.00     2005     0.00     0.00  float* std::__uninitialized_copy_a<float const*, float*, float>(float const*, float const*, float*, std::allocator<float>&)
  0.00      0.00     0.00     2002     0.00     0.00  std::__new_allocator<std::vector<float, std::allocator<float> > >::_M_max_size() const
  0.00      0.00     0.00     2002     0.00     0.00  std::initializer_list<std::vector<float, std::allocator<float> > >::begin() const
  0.00      0.00     0.00     2002     0.00     0.00  std::allocator<std::vector<float, std::allocator<float> > >::allocator(std::allocator<std::vector<float, std::allocator<float> > > const&)
  0.00      0.00     0.00     2002     0.00     0.00  std::__new_allocator<std::vector<float, std::allocator<float> > >::__new_allocator(std::__new_allocator<std::vector<float, std::allocator<float> > > const&)
  0.00      0.00     0.00     2002     0.00     0.00  void std::_Construct<std::vector<float, std::allocator<float> >, std::vector<float, std::allocator<float> > const&>(std::vector<float, std::allocator<float> >*, std::vector<float, std::allocator<float> > const&)
  0.00      0.00     0.00     2002     0.00     0.00  std::vector<float, std::allocator<float> > const& std::forward<std::vector<float, std::allocator<float> > const&>(std::remove_reference<std::vector<float, std::allocator<float> > const&>::type&)
