Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      6.86     0.00    20005     0.00     0.00  std::initializer_list<float>::end() const
  0.00      6.86     0.00    20005     0.00     0.00  std::initializer_list<float>::size() const
  0.00      6.86     0.00    20005     0.00     0.00  std::iterator_traits<float const*>::difference_type std::__distance<float const*>(float const*, float const*, std::random_access_iterator_tag)
  0.00      6.86     0.00    20005     0.00     0.00  std::vector<float, std::allocator<float> >* std::__addressof<std::vector<float, std::allocator<float> > >(std::vector<float, std::allocator<float> >&)
  0.00      6.86     0.00    20005     0.00     0.00  float* std::__copy_move_a2<false, float const*, float*>(float const*, float const*, float*)
  0.00      6.86     0.00    20005     0.00     0.00  std::iterator_traits<float const*>::iterator_category std::__iterator_category<float const*>(float const* const&)
  0.00      6.86     0.00    20005     0.00     0.00  float* std::copy<float const*, float*>(float const*, float const*, float*)
  0.00      6.86     0.00    20005     0.00     0.00  std::iterator_traits<float const*>::difference_type std::distance<float const*>(float const*, float const*)
  0.00      6.86     0.00    20002     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<float>, float>::_S_select_on_copy(std::allocator<float> const&)
  0.00      6.86     0.00    20002     0.00     0.00  std::vector<float, std::allocator<float> >::end() const
  0.00      6.86     0.00    20002     0.00     0.00  std::vector<float, std::allocator<float> >::begin() const
  0.00      6.86     0.00    20002     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_create_storage(unsigned long)
  0.00      6.86     0.00    20002     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_base(unsigned long, std::allocator<float> const&)
  0.00      6.86     0.00    20002     0.00     0.00  std::allocator_traits<std::allocator<float> >::select_on_container_copy_construction(std::allocator<float> const&)
  0.00      6.86     0.00    20002     0.00     0.00  float* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*)
  0.00      6.86     0.00    20002     0.00     0.00  std::vector<float, std::allocator<float> >::vector(std::vector<float, std::allocator<float> > const&)
  0.00      6.86     0.00    20002     0.00     0.00  float* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*)
  0.00      6.86     0.00    20002     0.00     0.00  float* std::uninitialized_copy<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*)
  0.00      6.86     0.00    20002     0.00     0.00  float* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*, float>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*, std::allocator<float>&)
  0.00      6.86     0.00    20002     0.00     0.00  float* std::copy<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*)
  0.00      6.86     0.00    20000     0.00     0.00  void __gnu_cxx::new_allocator<float>::construct<float, float>(float*, float&&)
  0.00      6.86     0.00    20000     0.00     0.00  void std::allocator_traits<std::allocator<float> >::construct<float, float>(std::allocator<float>&, float*, float&&)
  0.00      6.86     0.00    20000     0.00     0.00  void std::vector<float, std::allocator<float> >::emplace_back<float>(float&&)
  0.00      6.86     0.00    20000     0.00     0.00  std::vector<float, std::allocator<float> >::push_back(float&&)
  0.00      6.86     0.00    20000     0.00     0.00  std::exp(float)
  0.00      6.86     0.00    20000     0.00     0.00  std::remove_reference<float&>::type&& std::move<float&>(float&)
  0.00      6.86     0.00    15143     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      6.86     0.00    15014     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      6.86     0.00    15005     0.00     0.00  std::_Vector_base<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > >::_M_get_Tp_allocator()
  0.00      6.86     0.00    15001     0.00     0.00  __gnu_cxx::new_allocator<std::vector<float, std::allocator<float> > >::~new_allocator()
  0.00      6.86     0.00    15001     0.00     0.00  std::allocator<std::vector<float, std::allocator<float> > >::~allocator()
  0.00      6.86     0.00    10111     0.00     0.00  std::allocator_traits<std::allocator<float> >::max_size(std::allocator<float> const&)
  0.00      6.86     0.00    10111     0.00     0.00  std::vector<float, std::allocator<float> >::_S_max_size(std::allocator<float> const&)
  0.00      6.86     0.00    10007     0.00     0.00  __gnu_cxx::new_allocator<float>::new_allocator()
  0.00      6.86     0.00    10007     0.00     0.00  std::allocator<float>::allocator()
  0.00      6.86     0.00    10006     0.00     0.00  __gnu_cxx::new_allocator<std::vector<float, std::allocator<float> > >::max_size() const
  0.00      6.86     0.00    10006     0.00     0.00  std::vector<float, std::allocator<float> > const& std::forward<std::vector<float, std::allocator<float> > const&>(std::remove_reference<std::vector<float, std::allocator<float> > const&>::type&)
  0.00      6.86     0.00    10005     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_base(std::allocator<float> const&)
  0.00      6.86     0.00    10005     0.00     0.00  float* std::__uninitialized_copy<true>::__uninit_copy<float const*, float*>(float const*, float const*, float*)
  0.00      6.86     0.00    10005     0.00     0.00  std::vector<float, std::allocator<float> >::_S_check_init_len(unsigned long, std::allocator<float> const&)
